name_en,weapon_type,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
Buster Blade III,great-sword,バスターブレイドⅢ,Claymore III,Lama devastatrice III,Schmetterklinge III,Hoja Cazadora III,Lâmina Destruidora III,Ostrze pogromcy III,Подручный клинок 3,버스터블레이드Ⅲ,巨刃劍Ⅲ,النصل العاصف III
Chrome Razor I,great-sword,クロームレイザーⅠ,Zweihänder,Rasoio cromato I,Chrom-Rasiermesser I,Cromocuchilla I,Navalha Cromada I,Chromowa brzytwa I,Блестящее лезвие 1,크롬레이저Ⅰ,鉻鋼剃刀Ⅰ,شفرة الكروم I
Chrome Razor II,great-sword,クロームレイザーⅡ,Zweihänder II,Rasoio cromato II,Chrom-Rasiermesser II,Cromocuchilla II,Navalha Cromada II,Chromowa brzytwa II,Блестящее лезвие 2,크롬레이저Ⅱ,鉻鋼剃刀Ⅱ,شفرة الكروم II
Chrome Deathscythe I,great-sword,クロームデスサイズⅠ,Faux chromée I,Falceletale cromata I,Chrom-Todessense I,Cromoguadaña mortal I,Ceifador Cromado I,Chromowa kosa śmierci I,Блестящий серп 1,크롬데스사이즈Ⅰ,鉻鋼死神鐮刀Ⅰ,منجل كروم الموت I
Chrome Deathscythe II,great-sword,クロームデスサイズⅡ,Faux chromée II,Falceletale cromata II,Chrom-Todessense II,Cromoguadaña mortal II,Ceifador Cromado II,Chromowa kosa śmierci II,Блестящий серп 2,크롬데스사이즈Ⅱ,鉻鋼死神鐮刀Ⅱ,منجل كروم الموت II
Chrome Deathscythe III,great-sword,クロームデスサイズⅢ,Faux chromée III,Falceletale cromata III,Chrom-Todessense III,Cromoguadaña mortal III,Ceifador Cromado III,Chrom. kosa śmierci III,Блестящий серп 3,크롬데스사이즈Ⅲ,鉻鋼死神鐮刀Ⅲ,منجل كروم الموت III
Nergal Judicator,great-sword,ネルガルジャッジ,Jugement Nergal,Giudice Nergi,Nergal-Richter,Sentencia Nergal,Julgadora de Nergal,Nergalny Sędzia,Нергальский вершитель,네르갈저지,滅盡龍的裁決,مُحاكم نيرغال
Purgation's Atrocity,great-sword,滅鬼の凶器,Atrocité du Purgatoire,Purificazione atroce,Atrozität,Purgatorio Atroz,Crueldade da Purgação,Zbrodnia oczyszczenia,Бич искупления,멸귀의 흉기,滅鬼兇器,قسوة التطهير
Ruinous Atrocity,great-sword,滅鬼の凶器【断】,Atrocité exorbitante,Atrocità razziante,Ruinen-Atrozität,Atrocidad regia,Atrocidade Ferrenha,Niszczycielska zbrodnia,Губительное зверство,멸귀의 흉기【단】,滅鬼兇器【斷】,شناعة الضَرُوس
Thunder Blade I,great-sword,サンダーブレイドⅠ,Estramaçon de l'orage,Lama del tuono I,Donnerklinge I,Hoja Trueno I,Lâmina de Raio I,Ostrze piorunów I,Клинок грозы 1,선더블레이드Ⅰ,雷刃劍Ⅰ,نصل الرعد I
Thunder Blade II,great-sword,サンダーブレイドⅡ,Estramaçon de l'orage II,Lama del tuono II,Donnerklinge II,Hoja Trueno II,Lâmina de Raio II,Ostrze piorunów II,Клинок грозы 2,선더블레이드Ⅱ,雷刃劍Ⅱ,نصل الرعد II
Lightning Punisher I,great-sword,ライトニングパニッシュⅠ,Vengeur de foudre,Punitore lampante I,Blitz-Bestrafer I,Castigadora Relámpago I,Punição Fulgural I,Ostrze błyskawic I,Молниеносный каратель 1,라이트닝퍼니시Ⅰ,雷光懲罰者Ⅰ,مُعاقِب البرق I
Lightning Punisher II,great-sword,ライトニングパニッシュⅡ,Vengeur de foudre II,Punitore lampante II,Blitz-Bestrafer II,Castigadora Relámpago II,Punição Fulgural II,Ostrze błyskawic II,Молниеносный каратель 2,라이트닝퍼니시Ⅱ,雷光懲罰者Ⅱ,مُعاقِب البرق II
Lightning Punisher III,great-sword,ライトニングパニッシュⅢ,Vengeur de foudre III,Punitore lampante III,Blitz-Bestrafer III,Castigadora Relámpago III,Punição Fulgural III,Ostrze błyskawic III,Молниеносный каратель 3,라이트닝퍼니시Ⅲ,雷光懲罰者Ⅲ,مُعاقِب البرق III
Lightning Punisher IV,great-sword,ライトニングパニッシュⅣ,Vengeur de foudre IV,Punitore lampante IV,Blitz-Bestrafer IV,Castigadora Relámpago IV,Punição Fulgural IV,Ostrze błyskawic IV,Молниеносный каратель 4,라이트닝퍼니시Ⅳ,雷光懲罰者Ⅳ,مُعاقِب البرق IV
Severing Bolt I,great-sword,迅雷の断裂斧Ⅰ,Éclair tranchant I,Saetta lacerante I,Abtrennender Bolzen I,Rayo cortante I,Raio Cortante I,Tnący grom I,Калечащий разряд 1,신전의 단열부Ⅰ,迅雷斷裂斧Ⅰ,صاعقة قاطعة I
Severing Bolt II,great-sword,迅雷の断裂斧Ⅱ,Éclair tranchant II,Saetta lacerante II,Abtrennender Bolzen II,Rayo cortante II,Raio Cortante II,Tnący grom II,Калечащий разряд 2,신전의 단열부Ⅱ,迅雷斷裂斧Ⅱ,صاعقة قاطعة II
Freeze Blade I,great-sword,フリーズブレイドⅠ,Lame de glace,Lama gelante I,Frostklinge I,Espada Helada I,Lâmina Congelante I,Zamrażające ostrze I,Ледяной клинок 1,프리즈블레이드Ⅰ,冰刃劍Ⅰ,نصل التجميد I
Freeze Blade II,great-sword,フリーズブレイドⅡ,Lame de glace II,Lama gelante II,Frostklinge II,Espada Helada II,Lâmina Congelante II,Zamrażające ostrze II,Ледяной клинок 2,프리즈블레이드Ⅱ,冰刃劍Ⅱ,نصل التجميد II
Frost Blaze I,great-sword,フロストブレイズⅠ,Croc de givre,Vampa ghiacciante I,Frostlohe I,Filo Gélido I,Chama Gélida I,Pożoga mrozu I,Клинок мороза 1,프로스트블레이즈Ⅰ,霜炎Ⅰ,لهيب الصقيع I
Frost Blaze II,great-sword,フロストブレイズⅡ,Croc de givre II,Vampa ghiacciante II,Frostlohe II,Filo Gélido II,Chama Gélida II,Pożoga mrozu II,Клинок мороза 2,프로스트블레이즈Ⅱ,霜炎Ⅱ,لهيب الصقيع II
Frost Blaze III,great-sword,フロストブレイズⅢ,Croc de givre III,Vampa ghiacciante III,Frostlohe III,Filo Gélido III,Chama Gélida III,Pożoga mrozu III,Клинок мороза 3,프로스트블레이즈Ⅲ,霜炎Ⅲ,لهيب الصقيع III
Icicle Fang,great-sword,アイシクルファング,Croc stalactite,Zanna di ghiaccio,Eiszapfen-Reißzahn,Colmillo carámbano,Presa Frígida,Soplowy kieł,Клык стужи,아이시클팡,冰尖巨牙,ناب ثلجي
Icicle Fang+,great-sword,アイシクルファング改,Croc stalactite +,Zanna di ghiaccio+,Eiszapfen-Reißzahn+,Colmillo carámbano+,Presa Frígida+,Soplowy kieł+,Клык стужи+,아이시클팡+,冰尖巨牙‧改,ناب ثلجي+
Paladire,great-sword,グラシュバリエ,Sinistre,Brando del paladino,Palafrost,Palafunesto,Paladinatroz,Paladyr,Паладир,그라슈바리에,斷海冰牙,سيف بالاداير
Jagras Blade I,great-sword,ジャグラスブレイドⅠ,Lame Jagras,Lama Jagras I,Jagras-Klinge I,Espadón Jagras I,Lâmina de Jagras I,Ostrze Jagrasa I,Клинок яграса 1,쟈그라스블레이드Ⅰ,凶豺龍之刃Ⅰ,نصل جاغراس I
Jagras Blade II,great-sword,ジャグラスブレイドⅡ,Lame Jagras II,Lama Jagras II,Jagras-Klinge II,Espadón Jagras II,Lâmina de Jagras II,Ostrze Jagrasa II,Клинок яграса 2,쟈그라스블레이드Ⅱ,凶豺龍之刃Ⅱ,نصل جاغراس II
Jagras Blade III,great-sword,ジャグラスブレイドⅢ,Lame Jagras III,Lama Jagras III,Jagras-Klinge III,Espadón Jagras III,Lâmina de Jagras III,Ostrze Jagrasa III,Клинок яграса 3,쟈그라스블레이드Ⅲ,凶豺龍之刃Ⅲ,نصل جاغراس III
Jagras Hacker I,great-sword,ジャグラスハッカーⅠ,Faucheur Jagras,Dismembratore Jagras I,Jagras-Hacker I,Cortador Jagras I,Facão de Jagras I,Rębadło Jagrasa I,Резак яграса 1,쟈그라스해커Ⅰ,凶豺龍鉤爪Ⅰ,جاغراس المخترق I
Jagras Hacker II,great-sword,ジャグラスハッカーⅡ,Faucheur Jagras II,Dismembratore Jagras II,Jagras-Hacker II,Cortador Jagras II,Facão de Jagras II,Rębadło Jagrasa II,Резак яграса 2,쟈그라스해커Ⅱ,凶豺龍鉤爪Ⅱ,جاغراس المخترق II
Jagras Hacker III,great-sword,ジャグラスハッカーⅢ,Faucheur Jagras III,Dismembratore Jagras III,Jagras-Hacker III,Cortador Jagras III,Facão de Jagras III,Rębadło Jagrasa III,Резак яграса 3,쟈그라스해커Ⅲ,凶豺龍鉤爪Ⅲ,جاغراس المخترق III
Jagras Deathclaw I,great-sword,ジャグラスデスクロウⅠ,Griffemort Jagras I,Unghiamortale Jagras I,Jagras-Todesklaue I,Garra mortal Jagras I,Garróbito de Jagras I,Szpon śmierci Jagrasa I,Коготь яграса 1,쟈그라스데스클로Ⅰ,凶豺龍兵器Ⅰ,مخلب موت جاغراس I
Jagras Deathclaw II,great-sword,ジャグラスデスクロウⅡ,Griffemort Jagras II,Unghiamortale Jagras II,Jagras-Todesklaue II,Garra mortal Jagras II,Garróbito de Jagras II,Szpon śmierci Jagrasa II,Коготь яграса 2,쟈그라스데스클로Ⅱ,凶豺龍兵器Ⅱ,مخلب موت جاغراس II
Mammoth Greataxe I,great-sword,巨牛の大斧Ⅰ,Mammohache I,Grandascia Mammoth I,Mammut-Großaxt I,Gran hacha mamut I,Machadão Mamute I,Wielki topór mamuci I,Великий топор-исполин 1,거우의 대부Ⅰ,巨牛大斧Ⅰ,فأس ماموث عظيم I
Mammoth Greataxe II,great-sword,巨牛の大斧Ⅱ,Mammohache II,Grandascia Mammoth II,Mammut-Großaxt II,Gran hacha mamut II,Machadão Mamute II,Wielki topór mamuci II,Великий топор-исполин 2,거우의 대부Ⅱ,巨牛大斧Ⅱ,فأس ماموث عظيم II
Girros Blade I,great-sword,ギルオスブレイドⅠ,Décapiteur Girros,Lama Girros I,Girros-Klinge I,Filo Girros I,Lâmina de Girros I,Ostrze Girrosa I,Клинок гирроса 1,기르오스블레이드Ⅰ,凶顎龍大劍Ⅰ,نصل غيروس I
Girros Blade II,great-sword,ギルオスブレイドⅡ,Décapiteur Girros II,Lama Girros II,Girros-Klinge II,Filo Girros II,Lâmina de Girros II,Ostrze Girrosa II,Клинок гирроса 2,기르오스블레이드Ⅱ,凶顎龍大劍Ⅱ,نصل غيروس II
Malady's Kiss I,great-sword,マラドハディードⅠ,Baiser de la mort,Bacio infetto I,Leidenskuss I,Beso de Plaga I,Beijo da Aflição I,Pocałunek zarazy I,Ядовитый поцелуй 1,마라드하디드Ⅰ,馬拉多之鐵Ⅰ,قبلة المرض I
Malady's Kiss II,great-sword,マラドハディードⅡ,Baiser de la mort II,Bacio infetto II,Leidenskuss II,Beso de Plaga II,Beijo da Aflição II,Pocałunek zarazy II,Ядовитый поцелуй 2,마라드하디드Ⅱ,馬拉多之鐵Ⅱ,قبلة المرض II
Malady's Kiss III,great-sword,マラドハディードⅢ,Baiser de la mort III,Bacio infetto III,Leidenskuss III,Beso de Plaga III,Beijo da Aflição III,Pocałunek zarazy III,Ядовитый поцелуй 3,마라드하디드Ⅲ,馬拉多之鐵Ⅲ,قبلة المرض III
Naaga Guillotine I,great-sword,ナーガ＝メクサラⅠ,Guillotine nâga,Ghigliottina Naaga I,Naaga-Guillotine I,Guillotina Naaga I,Guilhotina de Naaga I,Gilotyna Naaga I,Гильотина нааги 1,나가메쿠사라Ⅰ,蛇神斷頭台Ⅰ,مقصلة ناغا I
Naaga Guillotine II,great-sword,ナーガ＝メクサラⅡ,Guillotine nâga II,Ghigliottina Naaga II,Naaga-Guillotine II,Guillotina Naaga II,Guilhotina de Naaga II,Gilotyna Naaga II,Гильотина нааги 2,나가메쿠사라Ⅱ,蛇神斷頭台Ⅱ,مقصلة ناغا II
Hidden Blade I,great-sword,ヒドゥンブレイズⅠ,Lame occulte,Vampa occulta I,Geheime Klinge I,Hoja oculta I,Lâmina Oculta I,Ukryte ostrze I,Скрытый клинок 1,히든블레이즈Ⅰ,隱密之炎Ⅰ,نصل خفي I
Hidden Blade II,great-sword,ヒドゥンブレイズⅡ,Lame occulte II,Vampa occulta II,Geheime Klinge II,Hoja oculta II,Lâmina Oculta II,Ukryte ostrze II,Скрытый клинок 2,히든블레이즈Ⅱ,隱密之炎Ⅱ,نصل خفي II
Lava Blaze I,great-sword,ラヴァブレイズⅠ,Lame volcanique,Vampa Lava I,Lava-Lohe I,Ardor de Lava I,Chama de Lavasioth I,Pożoga lawy I,Жар лавы 1,라바블레이즈Ⅰ,熔岩之炎Ⅰ,لهيب لافا I
Lava Blaze II,great-sword,ラヴァブレイズⅡ,Lame volcanique II,Vampa Lava II,Lava-Lohe II,Ardor de Lava II,Chama de Lavasioth II,Pożoga lawy II,Жар лавы 2,라바블레이즈Ⅱ,熔岩之炎Ⅱ,لهيب لافا II
Pyre Cleaver I,great-sword,火砕剣Ⅰ,Fendoir de bûcher I,Spadone crematorio I,Scheiterhaufenspalter I,Espadón de pira I,Cutelo Pírico I,Tasak stosu I,Пламенный тесак 1,화쇄검Ⅰ,火碎劍Ⅰ,ساطور المحرقة I
Pyre Cleaver II,great-sword,火砕剣Ⅱ,Fendoir de bûcher II,Spadone crematorio II,Scheiterhaufenspalter II,Espadón de pira II,Cutelo Pírico II,Tasak stosu II,Пламенный тесак 2,화쇄검Ⅱ,火碎劍Ⅱ,ساطور المحرقة II
Glavenus Blaze I,great-sword,ディノブレイズⅠ,Lame Glavenus I,Vampa Glavenus I,Glavenus-Lohe I,Filo Glavenus I,Chama de Glavenus I,Pożoga Glavenusa I,Вспышка главенуса 1,디노블레이즈Ⅰ,斬龍之炎Ⅰ,لهيب غلافنيوس I
Glavenus Blaze II,great-sword,ディノブレイズⅡ,Lame Glavenus II,Vampa Glavenus II,Glavenus-Lohe II,Filo Glavenus II,Chama de Glavenus II,Pożoga Glavenusa II,Вспышка главенуса 2,디노블레이즈Ⅱ,斬龍之炎Ⅱ,لهيب غلافنيوس II
Blooming Blade I,great-sword,ブルームブレイドⅠ,Lame du tourment,Lama piumata I,Blühende Klinge I,Espadón Floral I,Lâmina Pujante I,Kwitnące ostrze I,Пестрый клинок 1,블룸블레이드Ⅰ,花朵之刀Ⅰ,النصل المتّقد I
Blooming Blade II,great-sword,ブルームブレイドⅡ,Lame du tourment II,Lama piumata II,Blühende Klinge II,Espadón Floral II,Lâmina Pujante II,Kwitnące ostrze II,Пестрый клинок 2,블룸블레이드Ⅱ,花朵之刀Ⅱ,النصل المتّقد II
Blooming Blade III,great-sword,ブルームブレイドⅢ,Lame du tourment III,Lama piumata III,Blühende Klinge III,Espadón Floral III,Lâmina Pujante III,Kwitnące ostrze III,Пестрый клинок 3,블룸블레이드Ⅲ,花朵之刀Ⅲ,النصل المتّقد III
Datura Blaze I,great-sword,ダチュラブレイズⅠ,Herbe du diable,Vampa datura I,Datura-Lohe I,Ardor Datura I,Chama de Datura I,Pożoga datury I,Пламя дурмана 1,다추라블레이즈Ⅰ,曼陀羅之炎Ⅰ,لهيب داتورا I
Datura Blaze II,great-sword,ダチュラブレイズⅡ,Herbe du diable II,Vampa datura II,Datura-Lohe II,Ardor Datura II,Chama de Datura II,Pożoga datury II,Пламя дурмана 2,다추라블레이즈Ⅱ,曼陀羅之炎Ⅱ,لهيب داتورا II
Datura Blaze III,great-sword,ダチュラブレイズⅢ,Herbe du diable III,Vampa datura III,Datura-Lohe III,Ardor Datura III,Chama de Datura III,Pożoga datury III,Пламя дурмана 3,다추라블레이즈Ⅲ,曼陀羅之炎Ⅲ,لهيب داتورا III
Datura Hellspine I,great-sword,ダチュラヘルスパインⅠ,Fléau du diable I,Dorsinferno datura I,Datura-Höllenstachel I,Púa infernal Datura I,Espinfernal de Datura I,Piekielny kolec datury I,Дурманный шип 1,다추라헬스파인Ⅰ,曼陀羅茁壯Ⅰ,فقرات داتورا جحيمية I
Datura Hellspine II,great-sword,ダチュラヘルスパインⅡ,Fléau du diable II,Dorsinferno datura II,Datura-Höllenstachel II,Púa infernal Datura II,Espinfernal de Datura II,Piek. kolec datury II,Дурманный шип 2,다추라헬스파인Ⅱ,曼陀羅茁壯Ⅱ,فقرات داتورا جحيمية II
Nyx Razor I,great-sword,ニュクスレイザーⅠ,Rasoir Nyx I,Rasoio Nyx I,Nyx-Rasiermesser I,Cuchilla Nyx I,Navalha de Nix I,Brzytwa Nyx I,Лезвие ночи 1,닉스레이저Ⅰ,夜神剃刀Ⅰ,شفرة نيكس I
Nyx Razor II,great-sword,ニュクスレイザーⅡ,Rasoir Nyx II,Rasoio Nyx II,Nyx-Rasiermesser II,Cuchilla Nyx II,Navalha de Nix II,Brzytwa Nyx II,Лезвие ночи 2,닉스레이저Ⅱ,夜神剃刀Ⅱ,شفرة نيكس II
Flame Blade I,great-sword,フレイムブレイドⅠ,Lame de feu,Lama infuocata I,Flammenklinge I,Espadón Abrasador I,Flâmina I,Ostrze ognia I,Огненный клинок 1,플레임블레이드Ⅰ,火炎之刃Ⅰ,نصل اللهيب I
Flame Blade II,great-sword,フレイムブレイドⅡ,Lame de feu II,Lama infuocata II,Flammenklinge II,Espadón Abrasador II,Flâmina II,Ostrze ognia II,Огненный клинок 2,플레임블레이드Ⅱ,火炎之刃Ⅱ,نصل اللهيب II
Red Wing,great-sword,レッドウィング,Aile ardente,Ala rossa,Roter Flügel,Ala Roja,Asa Rubra,Czerwone skrzydło,Красное крыло,레드윙,赤紅之翼,الجناح الأحمر
Blue Wing,great-sword,ブルーウィング,Aile d'azur,Ala blu,Blauer Flügel,Ala Azul,Asa Lazúli,Niebieskie skrzydło,Голубое крыло,블루윙,藍翼大劍,الجناح الأزرق
Rathalos Glinsword,great-sword,煌剣リオレウス,Colère du Rathalos,Lamalucente Rathalos,Rathalos-Glühschwert,Glinespada Rathalos,Nebulâmina de Rathalos,Alumiecz Rathalosa,Сверкающий меч раталоса,황검 리오레우스,火龍煌劍,سيف راذالوس المشتعل
Rathalos Glinsword+,great-sword,煌剣リオレウス改,Colère du Rathalos +,Lamalucente Rathalos+,Rathalos-Glühschwert+,Glinespada Rathalos+,Nebulâmina de Rathalos+,Alumiecz Rathalosa+,Сверкающий меч раталоса+,황검 리오레우스+,火龍煌劍‧改,سيف راذالوس المشتعل+
Rathflame Glinsword,great-sword,煌炎剣リオレウス,Épée de feu Rathalos,Lamafiamma Rathalos,Rathflammen-Glühschwert,Glinespada fuegorath,Nebulâmina Rathfogo,Alumiecz ognia Ratha,Сверкающий меч огня рат,황염검 리오레우스,火龍煌炎劍,سيف شعلة راذ المشتعل
Rathalos Gleamsword,great-sword,輝剣リオレウス,Flambeau Rathalos,Lampolama Rathalos,Rathalos-Glanzschwert,Brillaspada Rathalos,Lumespada de Rathalos,Błyskomiecz Rathalosa,Блестящий меч раталоса,휘검 리오레우스,輝劍火龍,سيف راذالوس لامع
Bone Blade I,great-sword,ボーンブレイドⅠ,Lame en os,Lama d'osso I,Knochenklinge I,Espadón Óseo I,Lâmina Óssea I,Kościane ostrze I,Костяной клинок 1,본블레이드Ⅰ,骨劍Ⅰ,النصل العظمي I
Bone Blade II,great-sword,ボーンブレイドⅡ,Lame en os II,Lama d'osso II,Knochenklinge II,Espadón Óseo II,Lâmina Óssea II,Kościane ostrze II,Костяной клинок 2,본블레이드Ⅱ,骨劍Ⅱ,النصل العظمي II
Bone Blade III,great-sword,ボーンブレイドⅢ,Lame en os III,Lama d'osso III,Knochenklinge III,Espadón Óseo III,Lâmina Óssea III,Kościane ostrze III,Костяной клинок 3,본블레이드Ⅲ,骨劍Ⅲ,النصل العظمي III
Bone Slasher I,great-sword,ボーンスラッシャーⅠ,Déchireur en os,Affettatore d'osso I,Knochenhacker I,Decapitadora Ósea I,Terror Ósseo I,Kościany rozpruwacz I,Костолом 1,본슬래셔Ⅰ,斬骨劍Ⅰ,الجارح العظمي I
Bone Slasher II,great-sword,ボーンスラッシャーⅡ,Déchireur en os II,Affettatore d'osso II,Knochenhacker II,Decapitadora Ósea II,Terror Ósseo II,Kościany rozpruwacz II,Костолом 2,본슬래셔Ⅱ,斬骨劍Ⅱ,الجارح العظمي II
Bone Slasher III,great-sword,ボーンスラッシャーⅢ,Déchireur en os III,Affettatore d'osso III,Knochenhacker III,Decapitadora Ósea III,Terror Ósseo III,Kościany rozpruwacz III,Костолом 3,본슬래셔Ⅲ,斬骨劍Ⅲ,الجارح العظمي III
Giant Jawblade I,great-sword,オオアギトⅠ,Mâchoire d'os,Mascellama gigante I,Riesige Kiefernklinge I,Filo Mandibular I,Maxilâmina Gigante I,Szczękowe gigaostrze I,Зубоскал 1,그레이트아기토Ⅰ,大龍顎Ⅰ,نصل الفك العملاق I
Giant Jawblade II,great-sword,オオアギトⅡ,Mâchoire d'os II,Mascellama gigante II,Riesige Kiefernklinge II,Filo Mandibular II,Maxilâmina Gigante II,Szczękowe gigaostrze II,Зубоскал 2,그레이트아기토Ⅱ,大龍顎Ⅱ,نصل الفك العملاق II
Ogre's Jaw I,great-sword,大鬼のアギトⅠ,Mâchoire d'ogre I,Fauce orchesca I,Ogernkiefer I,Mandíbula de ogro I,Mandíbula de Ogro I,Szczęka ogra I,Пасть огра 1,대귀의아기토Ⅰ,大鬼龍顎Ⅰ,فك الغول I
Ogre's Jaw II,great-sword,大鬼のアギトⅡ,Mâchoire d'ogre II,Fauce orchesca II,Ogernkiefer II,Mandíbula de ogro II,Mandíbula de Ogro II,Szczęka ogra II,Пасть огра 2,대귀의아기토Ⅱ,大鬼龍顎Ⅱ,فك الغول II
Ogre's Jaw III,great-sword,大鬼のアギトⅢ,Mâchoire d'ogre III,Fauce orchesca III,Ogernkiefer III,Mandíbula de ogro III,Mandíbula de Ogro III,Szczęka ogra III,Пасть огра 3,강자의아기토Ⅲ,大鬼龍顎Ⅲ,فك الغول III
Icewing,great-sword,アイスウィング,Aile de glace,Crioala,Eisschwinge,Ala de hielo,Friasa,Lodoskrzydło,Ледяное крыло,아이스윙,嚴冰之翼,جناح الثلج
Winged Seraphyd,great-sword,氷翼セラフィード,Séraphide ailé,Serafino alato,Geflügelter Seraphid,Serasilfo alado,Seráfide Alado,Skrzydlaty serafid,Крылатый серафид,빙익 세라피드,冰翼靈羽,سيرافايد مجنح
Tiger Jawblade,great-sword,ティガノアギト,Agito du tigre,Mascellama di tigre,Tigrex-Kiefernklinge,Dentellada de tigre,Maxilâmina de Tigre,Szczękowe ostrze tygrysa,Оскал тигра,티가아기토,轟龍大顎,نصل فك النمر
Tiger Jawblade+,great-sword,ティガノアギト改,Agito du tigre +,Mascellama di tigre+,Tigrex-Kiefernklinge+,Dentellada de tigre+,Maxilâmina de Tigre+,Szczęk. ostrze tygrysa+,Оскал тигра+,티가아기토+,轟龍大顎‧改,نصل فك النمر+
Tigrex Great Sword,great-sword,轟大剣【王虎】,Grande épée Tigrex,Spadone Tigrex,Tigrex-Großschwert,Gran espada Tigrex,Espadão de Tigrex,Miecz dwuręczny Tigrexa,Двуручный меч тигрекса,굉대검【왕호】,轟大劍【王虎】,سيف تغريكس عظيم
Accursed Blade,great-sword,カーサスブレイド,Lame maudite,Lama maledetta,Verfluchte Klinge,Espada maldita,Lâmina Amaldiçoada,Przeklęte ostrze,Треклятый клинок,카서스블레이드,劫難之刃,نصل ملعون
Wildbite,great-sword,吼大剣【荒咬】,Morsure sauvage,Morso selvaggio,Wildbiss,Mordisco salvaje,Mordida Selvagem,Dzikogryz,Дикий укус,후대검【황교】,吼大劍【荒咬】,عضة برية
Hazak Kys,great-sword,ハザクラキス,Hazak Kys,Kys Hazak,Hazak-Kys,Kys Hazak,Beijo de Hazak,Hazak Kys,Хазак-кис,하자크라키스,屍套龍大劍,هازاك كايس
Leviathan's Fury,great-sword,モンストロの憤怒,Furie du Léviathan,Furia del Leviathan,Leviathans Wut,Furia de Leviatán,Fúria de Leviatã,Furia Lewiatana,Гнев Левиафана,몬스트로의분노,魔物的憤怒,غضب ليفياتان
Monstrous Madness,great-sword,モンストロの狂気,Folie monstrueuse,Follia mostruosa,Monströser Wahn,Locura monstruosa,Loucura Monstruosa,Potworny obłęd,Чудовищное безумие,몬스트로의광기,魔物的狂氣,هوس وحشيّ
Don Monstro,great-sword,ドネス＝モンストロ,Don Monstro,Don Mostro,Don Monstro,Don Monstruo,Don Monstro,Don Monstro,Дон Монстро,도네스몬스트로,怨憎魔物,الوحش
